Año,Trimestre,Provincia,Mbps (Media de bajada),Mbps Anterior,Tasa Crecimiento (%),Tasa de Crecimiento Nacional
2018,1,Chubut,5.418637938827784,5.408238076890145,0.19229667388494917,
2018,2,Chubut,5.329857730598913,5.418637938827784,-1.6384229622117232,2.5246675897889332
2018,3,Chubut,6.076722322942862,5.329857730598913,14.01284293305187,8.324331698442114
2018,4,Chubut,6.085223903684034,6.076722322942862,0.1399040517134436,5.580367094907888
2019,1,Chubut,5.891730569196159,6.085223903684034,-3.179724157244791,
2019,2,Chubut,6.054406893543786,5.891730569196159,2.761095783947603,18.259854430743484
2019,3,Chubut,6.966323588474291,6.054406893543786,15.062031854894686,16.888360796658546
2019,4,Chubut,6.994113523445059,6.966323588474291,0.39891823309423646,18.884175455077578
2020,1,Chubut,7.117047781865397,6.994113523445059,1.757681770652534,
2020,2,Chubut,7.605487984559083,7.117047781865397,6.862960846465822,6.276316256840573
2020,3,Chubut,7.402074441844787,7.605487984559083,-2.674562672734123,7.858649402260917
2020,4,Chubut,7.383087626414736,7.402074441844787,-0.25650668038025604,4.8531219884997805
2021,1,Chubut,7.531527409144197,7.383087626414736,2.010538005784777,
2021,2,Chubut,7.67690621713348,7.531527409144197,1.9302699185928065,11.610982484911398
2021,3,Chubut,8.176860363136605,7.67690621713348,6.5124430579510895,5.347604194672346
2021,4,Chubut,9.082660638555469,8.176860363136605,11.077604791962024,9.657630996904675
2022,1,Chubut,13.4,9.082660638555469,47.5338618633138,
2022,2,Chubut,14.91,13.4,11.268656716417908,7.445952921123078
2022,3,Chubut,15.57,14.91,4.426559356136822,6.3322533795106635
2022,4,Chubut,15.92,15.57,2.247912652536928,72.73424530878985
2023,1,Chubut,18.36,15.92,15.326633165829143,
2023,2,Chubut,18.58,18.36,1.1982570806100157,6.70950615695859
2023,3,Chubut,19.26,18.58,3.659849300322946,3.3764198552336637
2023,4,Chubut,20.29,19.26,5.34787123572169,8.394332752049946
2024,1,Chubut,20.5,20.29,1.0349926071956672,
2014,2,Corrientes,3.3669705989802563,3.2186250823491607,4.60897162097623,
2014,3,Corrientes,3.410927776641118,3.3669705989802563,1.3055408821857546,1.4460894989660875
2014,4,Corrientes,3.806112311672501,3.410927776641118,11.58583707745748,7.521960205964795
2015,1,Corrientes,4.628190221393157,3.806112311672501,21.598887326564853,
2015,2,Corrientes,4.847197637993736,4.628190221393157,4.732031444780457,4.155101136979908
2015,3,Corrientes,5.063473816782213,4.847197637993736,4.461880759580379,4.288346523025755
2015,4,Corrientes,5.259482120492081,5.063473816782213,3.871024336301004,4.050179325947438
2016,1,Corrientes,5.37127911707625,5.259482120492081,2.12562746717179,
2016,2,Corrientes,5.601822569524247,5.37127911707625,4.292151784014682,3.739131486651722
2016,3,Corrientes,5.958192561066714,5.601822569524247,6.361679384156815,6.436662227260549
2016,4,Corrientes,6.236245604077509,5.958192561066714,4.666734754893757,4.256204195940437
2017,1,Corrientes,6.43297127701597,6.236245604077509,3.154553002367867,
2017,2,Corrientes,6.791580482607055,6.43297127701597,5.574550081893592,4.873665540955408
2017,3,Corrientes,7.447416428085263,6.791580482607055,9.656602717994362,9.374415462028418
2017,4,Corrientes,10.384400430891969,7.447416428085263,39.43628010018243,39.68830573502551
2018,1,Corrientes,11.118502865253635,10.384400430891969,7.069280881906543,
2018,2,Corrientes,10.87765289559918,11.118502865253635,-2.1662086395384583,2.5246675897889332
2018,3,Corrientes,11.493228365457124,10.87765289559918,5.659083588767485,8.324331698442114
2018,4,Corrientes,12.138923393387724,11.493228365457124,5.618047491958266,5.580367094907888
2019,1,Corrientes,12.049695550812029,12.138923393387724,-0.735055652664383,
2019,2,Corrientes,13.833035083816176,12.049695550812029,14.799872125266834,18.259854430743484
2019,3,Corrientes,16.69992255090861,13.833035083816176,20.72493454778063,16.888360796658546
2019,4,Corrientes,19.255411607971407,16.69992255090861,15.302400650497376,18.884175455077578
2020,1,Corrientes,20.538999274943325,19.255411607971407,6.666113885825922,
2020,2,Corrientes,22.15030606257576,20.538999274943325,7.845108547221949,6.276316256840573
2020,3,Corrientes,23.851523971242955,22.15030606257576,7.680335900827591,7.858649402260917
2020,4,Corrientes,25.446700896630592,23.851523971242955,6.687945505330782,4.8531219884997805
2021,1,Corrientes,25.985171359720063,25.446700896630592,2.1160718054448076,
2021,2,Corrientes,30.368054802005656,25.985171359720063,16.866863726284887,11.610982484911398
2021,3,Corrientes,32.16890082785829,30.368054802005656,5.930067097131605,5.347604194672346
2021,4,Corrientes,35.772659194287044,32.16890082785829,11.202615798758968,9.657630996904675
2022,1,Corrientes,38.11,35.772659194287044,6.533874915528316,
2022,2,Corrientes,43.31,38.11,13.644712673838896,7.445952921123078
2022,3,Corrientes,45.07,43.31,4.063726622027241,6.3322533795106635
2022,4,Corrientes,94.72,45.07,110.16197026847125,72.73424530878985
2023,1,Corrientes,94.8,94.72,0.08445945945945767,
2023,2,Corrientes,97.21,94.8,2.5421940928270006,6.70950615695859
2023,3,Corrientes,99.64,97.21,2.4997428248122695,3.3764198552336637
2023,4,Corrientes,100.9,99.64,1.2645523885989614,8.394332752049946
2024,1,Corrientes,102.49,100.9,1.5758176412289289,
2014,2,Córdoba,3.5567859606832632,3.3874045815248133,5.000329162990159,
2014,3,Córdoba,3.6600622495599104,3.5567859606832632,2.903640815563939,1.4460894989660875
2014,4,Córdoba,4.092903062184572,3.6600622495599104,11.826050572683748,7.521960205964795
2015,1,Córdoba,4.304279282006848,4.092903062184572,5.164457027463903,
2015,2,Córdoba,4.557937666200854,4.304279282006848,5.89316741723458,4.155101136979908
2015,3,Córdoba,4.867849001225086,4.557937666200854,6.7993763346603675,4.288346523025755
2015,4,Córdoba,5.067081493268407,4.867849001225086,4.092823996660135,4.050179325947438
2016,1,Córdoba,5.156801617049669,5.067081493268407,1.7706469473690964,
2016,2,Córdoba,5.516912823002807,5.156801617049669,6.98322783569026,3.739131486651722
2016,3,Córdoba,6.068526923518407,5.516912823002807,9.998600996840864,6.436662227260549
2016,4,Córdoba,6.4667403639056085,6.068526923518407,6.561945681478917,4.256204195940437
2017,1,Córdoba,6.799477637369997,6.4667403639056085,5.14536311557483,
2017,2,Córdoba,7.421321799076774,6.799477637369997,9.145469620917869,4.873665540955408
2017,3,Córdoba,9.11557287304998,7.421321799076774,22.82950557653992,9.374415462028418
2017,4,Córdoba,11.63658470115664,9.11557287304998,27.656098670002237,39.68830573502551
2018,1,Córdoba,12.790571217400483,11.63658470115664,9.91688322544622,
