,Año,Trimestre,Provincia,Accesos por cada 100 hogares,acceso_actual,nuevo_acceso,KPI
343,2020,3,Entre Ríos,58.1901640924315,58.1901640924315,59.47430676097378,2.21
319,2020,4,Entre Ríos,59.47430676097378,59.47430676097378,60.439449728342346,1.62
295,2021,1,Entre Ríos,60.439449728342346,60.439449728342346,61.660264464787886,2.02
271,2021,2,Entre Ríos,61.660264464787886,61.660264464787886,62.17940145385769,0.84
247,2021,3,Entre Ríos,62.17940145385769,62.17940145385769,63.15536143616578,1.57
223,2021,4,Entre Ríos,63.15536143616578,63.15536143616578,63.70090347123158,0.86
199,2022,1,Entre Ríos,63.70090347123158,63.70090347123158,63.9,0.31
175,2022,2,Entre Ríos,63.9,63.9,63.67,-0.36
151,2022,3,Entre Ríos,63.67,63.67,64.01,0.53
127,2022,4,Entre Ríos,64.01,64.01,64.79,1.22
103,2023,1,Entre Ríos,64.79,64.79,64.43,-0.56
79,2023,2,Entre Ríos,64.43,64.43,68.84,6.84
55,2023,3,Entre Ríos,68.84,68.84,69.94,1.6
31,2023,4,Entre Ríos,69.94,69.94,69.31,-0.9
968,2014,1,Formosa,17.418451079368708,17.418451079368708,17.54041175485166,0.7
944,2014,2,Formosa,17.54041175485166,17.54041175485166,17.771314831468263,1.32
920,2014,3,Formosa,17.771314831468263,17.771314831468263,17.956311361695214,1.04
896,2014,4,Formosa,17.956311361695214,17.956311361695214,18.12270367397183,0.93
872,2015,1,Formosa,18.12270367397183,18.12270367397183,18.36026720527858,1.31
848,2015,2,Formosa,18.36026720527858,18.36026720527858,18.83675177378525,2.6
824,2015,3,Formosa,18.83675177378525,18.83675177378525,19.06549151678632,1.21
800,2015,4,Formosa,19.06549151678632,19.06549151678632,19.041878369434937,-0.12
776,2016,1,Formosa,19.041878369434937,19.041878369434937,19.370070664564,1.72
752,2016,2,Formosa,19.370070664564,19.370070664564,18.639708302862847,-3.77
728,2016,3,Formosa,18.639708302862847,18.639708302862847,19.84823607816392,6.48
704,2016,4,Formosa,19.84823607816392,19.84823607816392,19.842489178645863,-0.03
680,2017,1,Formosa,19.842489178645863,19.842489178645863,19.965076445261992,0.62
656,2017,2,Formosa,19.965076445261992,19.965076445261992,21.35038438007076,6.94
632,2017,3,Formosa,21.35038438007076,21.35038438007076,21.27097668924972,-0.37
608,2017,4,Formosa,21.27097668924972,21.27097668924972,21.40431025921144,0.63
584,2018,1,Formosa,21.40431025921144,21.40431025921144,29.434226520797,37.52
560,2018,2,Formosa,29.434226520797,29.434226520797,29.576573428878444,0.48
536,2018,3,Formosa,29.576573428878444,29.576573428878444,29.73653915732,0.54
512,2018,4,Formosa,29.73653915732,29.73653915732,29.67769463043193,-0.2
488,2019,1,Formosa,29.67769463043193,29.67769463043193,30.418236006943307,2.5
464,2019,2,Formosa,30.418236006943307,30.418236006943307,30.11243299777749,-1.01
440,2019,3,Formosa,30.11243299777749,30.11243299777749,30.471313480544048,1.19
416,2019,4,Formosa,30.471313480544048,30.471313480544048,30.228303962606848,-0.8
392,2020,1,Formosa,30.228303962606848,30.228303962606848,31.1394362262631,3.01
368,2020,2,Formosa,31.1394362262631,31.1394362262631,31.905623310186535,2.46
344,2020,3,Formosa,31.905623310186535,31.905623310186535,32.487381907596735,1.82
320,2020,4,Formosa,32.487381907596735,32.487381907596735,32.732955756327215,0.76
296,2021,1,Formosa,32.732955756327215,32.732955756327215,33.22548419322613,1.5
272,2021,2,Formosa,33.22548419322613,33.22548419322613,33.962033540684324,2.22
248,2021,3,Formosa,33.962033540684324,33.962033540684324,34.4545746388443,1.45
