Año,Trimestre,Provincia,Banda ancha fija,Dial up
2022,1,Neuquén,149208,471.0
2022,1,Río Negro,156821,553.0
2022,1,Salta,197510,5.0
2022,1,San Juan,87888,290.0
2022,1,San Luis,119659,185.0
2022,1,Santa Cruz,48898,204.0
2022,1,Santa Fe,870364,115.0
2022,1,Santiago Del Estero,116459,2.0
2022,1,Tierra Del Fuego,52298,313.0
2022,1,Tucumán,245554,30.0
2021,4,Buenos Aires,4502772,6385.0
2021,4,Capital Federal,1409935,2184.0
2021,4,Catamarca,59089,1.0
2021,4,Chaco,143740,5.0
2021,4,Chubut,159364,944.0
2021,4,Córdoba,986693,77.0
2021,4,Corrientes,135908,4.0
2021,4,Entre Ríos,265024,22.0
2021,4,Formosa,53663,0.0
2021,4,Jujuy,113915,0.0
2021,4,La Pampa,106834,173.0
2021,4,La Rioja,83124,4.0
2021,4,Mendoza,266783,804.0
2021,4,Misiones,171132,0.0
2021,4,Neuquén,146989,477.0
2021,4,Río Negro,153189,564.0
2021,4,Salta,199399,6.0
2021,4,San Juan,79667,291.0
2021,4,San Luis,118662,187.0
2021,4,Santa Cruz,48276,210.0
2021,4,Santa Fe,866265,176.0
2021,4,Santiago Del Estero,115859,2.0
2021,4,Tierra Del Fuego,52042,315.0
2021,4,Tucumán,238609,30.0
2021,3,Buenos Aires,4246425,5184.0
2021,3,Capital Federal,1411797,1608.0
2021,3,Catamarca,56253,1.0
2021,3,Chaco,139868,3.0
2021,3,Chubut,155266,800.0
2021,3,Córdoba,946726,62.0
2021,3,Corrientes,133816,3.0
2021,3,Entre Ríos,260360,15.0
2021,3,Formosa,52795,0.0
2021,3,Jujuy,111158,0.0
2021,3,La Pampa,100371,116.0
2021,3,La Rioja,82157,3.0
2021,3,Mendoza,255320,619.0
2021,3,Misiones,158528,0.0
2021,3,Neuquén,139436,373.0
2021,3,Río Negro,144084,501.0
2021,3,Salta,195831,2.0
2021,3,San Juan,79227,256.0
2021,3,San Luis,117716,148.0
2021,3,Santa Cruz,48779,197.0
2021,3,Santa Fe,841433,151.0
2021,3,Santiago Del Estero,115457,1.0
2021,3,Tierra Del Fuego,49934,289.0
2021,3,Tucumán,232447,25.0
2021,2,Buenos Aires,4127167,5184.0
2021,2,Capital Federal,1398747,1608.0
2021,2,Catamarca,55743,1.0
2021,2,Chaco,140726,3.0
2021,2,Chubut,138412,825.0
2021,2,Córdoba,930818,62.0
2021,2,Corrientes,129498,3.0
2021,2,Entre Ríos,257617,15.0
2021,2,Formosa,51551,0.0
2021,2,Jujuy,111848,0.0
2021,2,La Pampa,97551,116.0
2021,2,La Rioja,81599,3.0
2021,2,Mendoza,229052,619.0
2021,2,Misiones,156176,0.0
2021,2,Neuquén,137877,373.0
2021,2,Río Negro,143583,501.0
